"id","name","symbol","slug","num_market_pairs","date_added","tags","max_supply","circulating_supply","total_supply","platform","cmc_rank","last_updated","quote"
1505,"Spectrecoin","XSPEC","spectrecoin",6,"2017-01-14T00:00:00.000Z","[""pos"",""pos-30""]",,26245631.61355,26245631.61355,,847,"2020-09-26T03:51:07.000Z","{""USD"":{""price"":0.098803090443,""volume_24h"":99153.593532168,""percent_change_1h"":-2.21431,""percent_change_24h"":-2.47721,""percent_change_7d"":1.2863,""market_cap"":2593149.5140472404,""last_updated"":""2020-09-26T03:51:07.000Z""}}"
3182,"HitChain","HIT","hitchain",8,"2018-08-16T00:00:00.000Z","[]",,61440000000,102400000000,"{""id"":1027,""name"":""Ethereum"",""symbol"":""ETH"",""slug"":""ethereum"",""token_address"":""0x7995ab36bB307Afa6A683C24a25d90Dc1Ea83566""}",848,"2020-09-26T03:51:15.000Z","{""USD"":{""price"":0.0000419408478816,""volume_24h"":183742.970781614,""percent_change_1h"":-0.243555,""percent_change_24h"":4.51926,""percent_change_7d"":-11.1858,""market_cap"":2576845.693845504,""last_updated"":""2020-09-26T03:51:15.000Z""}}"
2891,"Cardstack","CARD","cardstack",4,"2018-07-03T00:00:00.000Z","[]",,2357982917.30061,6000000000,"{""id"":1027,""name"":""Ethereum"",""symbol"":""ETH"",""slug"":""ethereum"",""token_address"":""0x954b890704693af242613edef1b603825afcd708""}",849,"2020-09-26T03:51:14.000Z","{""USD"":{""price"":0.00108701661436,""volume_24h"":64737.0712304736,""percent_change_1h"":-0.167748,""percent_change_24h"":20.2403,""percent_change_7d"":-24.5321,""market_cap"":2563166.607482825,""last_updated"":""2020-09-26T03:51:14.000Z""}}"
2542,"Tidex Token","TDX","tidex-token",2,"2018-02-23T00:00:00.000Z","[""marketplace"",""centralized-exchange"",""payments""]",100000000,9504980.45,99999981,"{""id"":1274,""name"":""Waves"",""symbol"":""WAVES"",""slug"":""waves"",""token_address"":""3QvxP6YFBKpWJSMAfYtL8Niv8KmmKsnpb9uQwQpg8QN2""}",850,"2020-09-26T03:51:12.000Z","{""USD"":{""price"":0.26938392419,""volume_24h"":5148.23828134118,""percent_change_1h"":0.0170217,""percent_change_24h"":10.5408,""percent_change_7d"":2.53309,""market_cap"":2560488.932970232,""last_updated"":""2020-09-26T03:51:12.000Z""}}"
2437,"YEE","YEE","yee",9,"2018-01-20T00:00:00.000Z","[]",,1365218125,10000000000,"{""id"":1027,""name"":""Ethereum"",""symbol"":""ETH"",""slug"":""ethereum"",""token_address"":""0x922105fad8153f516bcfb829f56dc097a0e1d705""}",851,"2020-09-26T03:51:09.000Z","{""USD"":{""price"":0.00186134138506,""volume_24h"":680821.356956698,""percent_change_1h"":0.562294,""percent_change_24h"":7.15615,""percent_change_7d"":1.70863,""market_cap"":2541136.9956965162,""last_updated"":""2020-09-26T03:51:09.000Z""}}"
3739,"Constant","CONST","constant",1,"2019-03-19T00:00:00.000Z","[""store-of-value"",""stablecoin"",""stablecoin-asset-backed""]",,50706.12,56035.99,"{""id"":1027,""name"":""Ethereum"",""symbol"":""ETH"",""slug"":""ethereum"",""token_address"":""0x4983f767b1bc44328e434729ddabea0a064ca1ac""}",852,"2020-09-26T03:51:18.000Z","{""USD"":{""price"":49.836768176,""volume_24h"":0,""percent_change_1h"":0,""percent_change_24h"":-5.68434e-14,""percent_change_7d"":-1.27898e-13,""market_cap"":2527029.147544437,""last_updated"":""2020-09-26T03:51:18.000Z""}}"
6039,"Connectome","CNTM","connectome",3,"2020-08-03T00:00:00.000Z","[]",140000000,1210675,1213183,"{""id"":1027,""name"":""Ethereum"",""symbol"":""ETH"",""slug"":""ethereum"",""token_address"":""0x9a1bf361798ef6538ccb8137ea900c4d4b48ca3d""}",853,"2020-09-26T03:51:27.000Z","{""USD"":{""price"":2.08004575463,""volume_24h"":1741175.64060267,""percent_change_1h"":-0.339394,""percent_change_24h"":-1.83284,""percent_change_7d"":6.32801,""market_cap"":2518259.3939866754,""last_updated"":""2020-09-26T03:51:27.000Z""}}"
2698,"Hydro","HYDRO","hydrogen",8,"2018-05-02T00:00:00.000Z","[""platform"",""smart-contracts""]",,11046612734.4511,11111111111,"{""id"":1027,""name"":""Ethereum"",""symbol"":""ETH"",""slug"":""ethereum"",""token_address"":""0xebbdf302c940c6bfd49c6b165f457fdb324649bc""}",854,"2020-09-26T03:51:13.000Z","{""USD"":{""price"":0.00022774417973,""volume_24h"":529815.962445933,""percent_change_1h"":-0.125749,""percent_change_24h"":-0.674768,""percent_change_7d"":-17.0669,""market_cap"":2515801.756002538,""last_updated"":""2020-09-26T03:51:13.000Z""}}"
6822,"DistX","DISTX","distx",6,"2020-09-01T00:00:00.000Z","[]",50000000,32148833,50000000,"{""id"":1027,""name"":""Ethereum"",""symbol"":""ETH"",""slug"":""ethereum"",""token_address"":""0x4b4701f3f827e1331fb22ff8e2beac24b17eb055""}",855,"2020-09-26T03:51:29.000Z","{""USD"":{""price"":0.077802298415,""volume_24h"":296413.195856479,""percent_change_1h"":-0.457805,""percent_change_24h"":-2.12683,""percent_change_7d"":4.62731,""market_cap"":2501253.0987599995,""last_updated"":""2020-09-26T03:51:29.000Z""}}"
3066,"BitCapitalVendor","BCV","bitcapitalvendor",4,"2018-08-02T00:00:00.000Z","[""asset-management""]",,976399994.51,1200000000,"{""id"":1027,""name"":""Ethereum"",""symbol"":""ETH"",""slug"":""ethereum"",""token_address"":""0x1014613e2b3cbc4d575054d4982e580d9b99d7b1""}",856,"2020-09-26T03:51:14.000Z","{""USD"":{""price"":0.00256164405861,""volume_24h"":14251.4075795247,""percent_change_1h"":-0.402258,""percent_change_24h"":-3.654,""percent_change_7d"":-6.04735,""market_cap"":2501189.244763378,""last_updated"":""2020-09-26T03:51:14.000Z""}}"
